 "bdr" , "w" , "bc" , "trl" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/082560846/id" , "The speech of gold  : reason and enlightenment in the Tibetan Buddhism  / translated with an introduction by Robert A. F. Thurman/ 1ère éd. indienne / Delhi : Motilal Banarsidass , 1989" , "Thurman, Robert A. F. (1941-....)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/016490657/id" , "The story of the stone  : a Chinese novel in five volumes  / translated by David Hawkes / Harmondsworth : Penguin , 1973-1986" , "Hawkes, David (1923-....)" ,
 "http://purl.bdrc.io/resource/P105" , "http://www.sudoc.fr/196748682/id" , "Mind in Buddhist psychology  : a translation of Ye-shes rgyal-mtshan's "The necklace of clear understanding"  / by Herbert V. Guenther, Leslie S. Kawamura / Emeryville, Calif. : Dharma Publishing , cop. 1975" , "Kawamura, Leslie S." ,
 "http://purl.bdrc.io/resource/P105" , "http://www.sudoc.fr/196748682/id" , "Mind in Buddhist psychology  : a translation of Ye-shes rgyal-mtshan's "The necklace of clear understanding"  / by Herbert V. Guenther, Leslie S. Kawamura / Emeryville, Calif. : Dharma Publishing , cop. 1975" , "Guenther, Herbert V. (1917-2006)" ,
 "http://purl.bdrc.io/resource/P00KG09697" , "http://www.sudoc.fr/147196698/id" , "Heart essence of the vast expanse  : a story of transmission  / Anne Carolyn Klein (Rigzin Drolma)  ; foreword by Adzom Paylo Rinpoche  ; preface by Tulku Thondup Rinpoche  ; epilogue by Khetsun Sangpo Rinpoche / Ithaca, N.Y. : Snow Lion Publications , 2009" , "Klein, Anne C. (1947-....)" ,
 "http://purl.bdrc.io/resource/P4278" , "http://www.sudoc.fr/14842600X/id" , "Vida de Milarepa  : sus crimenes, sus pruebas, su nirvana  : historia del reverendo santo Milarepa, el mayor de los eremitas, que enseña el camino de la liberación y de la omnisciencia  / prologo y notas de Jacques Bacot  ; traducción de Manuel Serrat Crespo / Barcelona : Ediciones liberales, Editorial labor , 1975" , "Serrat Crespo, Manuel (1942-2014)" ,
 "http://purl.bdrc.io/resource/P4278" , "http://www.sudoc.fr/14842600X/id" , "Vida de Milarepa  : sus crimenes, sus pruebas, su nirvana  : historia del reverendo santo Milarepa, el mayor de los eremitas, que enseña el camino de la liberación y de la omnisciencia  / prologo y notas de Jacques Bacot  ; traducción de Manuel Serrat Crespo / Barcelona : Ediciones liberales, Editorial labor , 1975" , "Bacot, Jacques (1877-1965)" ,
 "http://purl.bdrc.io/resource/P442" , "http://www.sudoc.fr/001955829/id" , "Milarepa ou Jetsün Kahbum  : vie de Jetsün Milarepa  / traduite du tibétain [en anglais] par le lama Kazi Dawa-Samdup  ; édité par le Dr W. Y. [Walter Yeeling] Evans-Wentz,... avec introduction et commentaires  ; traduction française de Roland Ryser / Paris : A. Maisonneuve , 1973" , "Dawa Samdup (1868-1922 ; Kazi)" ,
 "http://purl.bdrc.io/resource/P442" , "http://www.sudoc.fr/001955829/id" , "Milarepa ou Jetsün Kahbum  : vie de Jetsün Milarepa  / traduite du tibétain [en anglais] par le lama Kazi Dawa-Samdup  ; édité par le Dr W. Y. [Walter Yeeling] Evans-Wentz,... avec introduction et commentaires  ; traduction française de Roland Ryser / Paris : A. Maisonneuve , 1973" , "Ryser, Roland" ,
 "http://purl.bdrc.io/resource/P1428" , "http://www.sudoc.fr/147192927/id" , "The essence of other-emptiness  / Tāranāt̄ha  ; translated and annotated byJeffrey Hopkins in collaboration with Lama Lodrö Namgyel / Ithaca, N.Y. : Snow Lion Publications , 2007" , "Hopkins, Jeffrey (1940-....)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/002746999/id" , "Le grand livre de la progression vers l'éveil  2,   / par Tsongkhapa Losang Drakpa  ; trad. française de Georges Driessens, sous la dir. de Yonten Gyatso, avec la collab. de Michel Zaregradsky. / Saint-Jean-le-Vieux : Éd. Dharma , 1992" , "Driessens, Georges (19..-....)" ,
 "http://purl.bdrc.io/resource/P541" , "http://www.sudoc.fr/185636713/id" , "The life of the Buddha  / Tenzin Chögyel  ; translated with an Introduction and notes by Kurtis R. Schaeffer / New York : Penguin Books , 2015" , "Schaeffer, Kurtis R." ,
 "http://purl.bdrc.io/resource/P783" , "http://www.sudoc.fr/074434918/id" , "The three visions  : fundamental teachings of the Sakya Lineage of Tibetan Buddhism  : a translation of the Tibetan text The beautiful ornament of the three visions : an exposition of the preliminary practices of the path which extensively explains the instructions of the "Path including its result" in accordance with the root treatise of the Vajra verses of Virūpa  / by Ngorchen Konchog Lhundrub  ; foreword by H.H. Sakya Trizin  ; translated by Lobsang Dagpa and Jay Goldberg/ 2nd ed. / Ithaca, N.Y. : Snow Lion Publications , 2002" , "Goldberg, Jay" ,
 "http://purl.bdrc.io/resource/P783" , "http://www.sudoc.fr/074434918/id" , "The three visions  : fundamental teachings of the Sakya Lineage of Tibetan Buddhism  : a translation of the Tibetan text The beautiful ornament of the three visions : an exposition of the preliminary practices of the path which extensively explains the instructions of the "Path including its result" in accordance with the root treatise of the Vajra verses of Virūpa  / by Ngorchen Konchog Lhundrub  ; foreword by H.H. Sakya Trizin  ; translated by Lobsang Dagpa and Jay Goldberg/ 2nd ed. / Ithaca, N.Y. : Snow Lion Publications , 2002" , "Lobsang Dagpa" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/164466541/id" , "密宗道次第广论  / 宗喀巴  ; 法尊译 / 西宁 : 青海人民出版社 , 2012" , "Fazun (1901–1981)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/197992064/id" , "红楼梦  : 汉法对照  = = Le rêve dans le pavillon rouge : Chinois-français  / 曹雪芹, 高鹗著  / écrit par Cao Xueqin et Gao E  ; 李治华, 雅歌译  ; 安德烈・铎尔孟校  ; traduit en français par Li Zhihua et Jacqueline Alézais  ; révision par André d'Hormon/ 第1版. / 北京 : 人民文学出版社 , 2012" , "Alézaïs, Jacqueline (19..-2009)" ,
