"p","prefL","es"
"http://purl.bdrc.io/resource/P7894","gtsang ston rdo rje rgyal mtshan/","62"
"http://purl.bdrc.io/resource/P8414","mkhas btsun gzi brjid rgyal mtshan/","62"
"http://purl.bdrc.io/resource/P9604","dpon tshang bkra rgyal/","62"
"http://purl.bdrc.io/resource/P00KG03790","stag bla dkon mchog rgyal mtshan/","61"
"http://purl.bdrc.io/resource/P1692","tshul khrims rdo rje/","61"
"http://purl.bdrc.io/resource/P3JM153","mkhan po 'chi med rig 'dzin/","61"
"http://purl.bdrc.io/resource/P4259","lo tsA ba dpal gyi lhun po/","61"
"http://purl.bdrc.io/resource/P4832","snye thang lo tsA ba blo gros brtan pa/","61"
"http://purl.bdrc.io/resource/P4CZ15214","cog gru lo tsA ba mya ngan med/","61"
"http://purl.bdrc.io/resource/P579","'brug rje mkhan po 25 shes rab rgyal mtshan/","61"
"http://purl.bdrc.io/resource/P8065","sangs rgyas rin chen/","61"
"http://purl.bdrc.io/resource/P8168","lo tsA ba mang 'or byang chub shes rab/","61"
"http://purl.bdrc.io/resource/P8LS20818","byang pa 'jam dbyangs rnam rgyal/","61"
"http://purl.bdrc.io/resource/P95","sangs rgyas ston pa brtson 'grus seng+ge","61"
"http://purl.bdrc.io/resource/P961","sa skya khri chen 36 bkra shis rin chen/","61"
"http://purl.bdrc.io/resource/P00EGS1016624","mdo mang gter chen rdo rje bde chen gling pa/","60"
"http://purl.bdrc.io/resource/P00EGS1016724","chab mdo blo bzang shes rab/","60"
"http://purl.bdrc.io/resource/P104","zhog dka' bcu don yod mkhas grub/","60"
"http://purl.bdrc.io/resource/P282","chu bzang ye shes rgya mtsho/","60"
"http://purl.bdrc.io/resource/P2CZ9105","bsod nams 'brug rgyas/","60"
"http://purl.bdrc.io/resource/P345","'jam dbyangs bde ba'i rdo rje/","60"
"http://purl.bdrc.io/resource/P3CN17775","dga' ldan grwa bag gro/","60"
"http://purl.bdrc.io/resource/P4306","bla brang khri 15 bsod nams dbang rgyal/","60"
"http://purl.bdrc.io/resource/P4984","sman pa blo bzang chos 'phel/","60"
"http://purl.bdrc.io/resource/P5002","drang srong dpyad bu khri shes/","60"
"http://purl.bdrc.io/resource/P5232","rgyal rong bstan 'dzin grags pa/","60"
"http://purl.bdrc.io/resource/P6168","rdzi 'gags sprul sku 'jam dbyangs shes rab chos kyi snang ba/","60"
"http://purl.bdrc.io/resource/P6329","mi nyag pa thub bstan chos dar/","60"
"http://purl.bdrc.io/resource/P681","dri med gling pa/","60"
"http://purl.bdrc.io/resource/P7293","dpal bzang rgya mtsho/","60"
"http://purl.bdrc.io/resource/P7651","ser shul dge bshes blo bzang phun tshogs/","60"
"http://purl.bdrc.io/resource/P7770","blo gling dge bshes dpal ldan grags pa/","60"
"http://purl.bdrc.io/resource/P7800","slob dpon pad+ma la/","60"
"http://purl.bdrc.io/resource/P7855","zangs dkar mkhas grub bzhad pa rdo rje/","60"
"http://purl.bdrc.io/resource/P8317","bsod nams chos dar/","60"
"http://purl.bdrc.io/resource/P939","skyid shod zhabs drung ngag dbang bstan 'dzin 'phrin las/","60"
"http://purl.bdrc.io/resource/P1599","thang sag pa dngos grub rgya mtsho/","59"
"http://purl.bdrc.io/resource/P4977","brang ti dpal ldan rgyal mtshan/","59"
"http://purl.bdrc.io/resource/P654","yongs dge gter ston mi 'gyur rdo rje/","59"
"http://purl.bdrc.io/resource/P792","gnas gsar dbang phyug rab brtan/","59"
"http://purl.bdrc.io/resource/P8382","khang sar bstan pa'i dbang phyug","59"
"http://purl.bdrc.io/resource/P1KG1593","mkhan po sangs rgyas bstan 'dzin/","58"
"http://purl.bdrc.io/resource/P1KG983","mgon po skyabs/","58"
"http://purl.bdrc.io/resource/P5899","khyung tshang pa ye shes bla ma/","58"
"http://purl.bdrc.io/resource/P6610","rdzong gter kun bzang nyi ma/","58"
"http://purl.bdrc.io/resource/P7049","mgon po dbang rgyal/","58"
"http://purl.bdrc.io/resource/P8101","phug pa lhun grub rgya mtsho/","58"
"http://purl.bdrc.io/resource/P964","khri tsho mkhan po blo gros bzang po/","58"
"http://purl.bdrc.io/resource/P4262","lo tsA ba khyung grags/","57"
"http://purl.bdrc.io/resource/P5091","kun mkhyen bkra shis rnam rgyal/","57"
"http://purl.bdrc.io/resource/P5822","zla ba seng+ge","57"
"http://purl.bdrc.io/resource/P00KG09746","dngos grub/","56"
"http://purl.bdrc.io/resource/P1635","shel dkar bka' 'gyur bla ma ngag dbang blo bzang bstan 'dzin tshul khrims rgyal mtshan/","56"
"http://purl.bdrc.io/resource/P1KG5004","pad+ma rgyal mtshan/","56"
"http://purl.bdrc.io/resource/P2455","spyan snga rin chen ldan/","56"
"http://purl.bdrc.io/resource/P8012","na ga sangs rgyas bstan dar/","56"
"http://purl.bdrc.io/resource/P803","gnas gsar ba kun dga' legs pa'i 'byung gnas/","56"
"http://purl.bdrc.io/resource/P8068","lha'u rta ra thub bstan bstan dar/","56"
"http://purl.bdrc.io/resource/P1CZ2263","nyi ma tshe ring /","55"
"http://purl.bdrc.io/resource/P2552","byang chub ye shes/","55"
"http://purl.bdrc.io/resource/P2DB13651","'jam dpal brtson 'grus/","55"
"http://purl.bdrc.io/resource/P2PD17097","mkhan po a khyung /","55"
"http://purl.bdrc.io/resource/P3510","rin chen bsod nams mchog grub/","55"
"http://purl.bdrc.io/resource/P4112","dpal spungs sman pa 'brug rgyal/","55"
"http://purl.bdrc.io/resource/P7569","khrom dge pad+ma mkha' spyod dbang po/","55"
"http://purl.bdrc.io/resource/P8681","skal bzang rnam 'dren/","55"
"http://purl.bdrc.io/resource/P974","ngor mkhan chen 55 ngag dbang bsod nams rgyal mtshan/","55"
"http://purl.bdrc.io/resource/P00KG03719","klu smyon he ru ka","54"
"http://purl.bdrc.io/resource/P10048","rnam sras/","54"
"http://purl.bdrc.io/resource/P394","sangs rgyas bla ma/","54"
"http://purl.bdrc.io/resource/P4746","reb gong pa 'jigs med bsam grub/","54"
"http://purl.bdrc.io/resource/P481","paN chen ye shes rtse mo/","54"
"http://purl.bdrc.io/resource/P6288","sum pa don grub tshe ring /","54"
"http://purl.bdrc.io/resource/P6864","zhol khang bsod nams dar rgyas/","54"
"http://purl.bdrc.io/resource/P6917","g.yag sde 'dul 'dzin mkhyen rab rgya mtsho/","54"
"http://purl.bdrc.io/resource/P6968","lde'u jo sras/","54"
"http://purl.bdrc.io/resource/P7209","bla brang skal bzang /","54"
"http://purl.bdrc.io/resource/P7308","blo gros phun tshogs/","54"
"http://purl.bdrc.io/resource/P7432","nor rgyas nang pa dbang 'dus tshe ring /","54"
"http://purl.bdrc.io/resource/P878","dung dkar sprul sku mi pham bkra shis blo gros/","54"
"http://purl.bdrc.io/resource/P8LS66561","kun mkhyen nyi ma bstan 'dzin/","54"
"http://purl.bdrc.io/resource/P1523","bla chen dgongs pa rab gsal/","53"
"http://purl.bdrc.io/resource/P237","lcang lung khri rgan 'jam dbyangs thub bstan rgya mtsho/","53"
"http://purl.bdrc.io/resource/P3256","bka' 'gyur ba mgon po bsod nams mchog ldan/","53"
"http://purl.bdrc.io/resource/P409","rong po grub chen 02 ngag dbang 'phrin las rgya mtsho/","53"
"http://purl.bdrc.io/resource/P655","rig 'dzin kun bzang shes rab/","53"
"http://purl.bdrc.io/resource/P1027","ngor mkhan chen 08 sangs rgyas rin chen/","52"
"http://purl.bdrc.io/resource/P10634","blo gros rgya mtsho/","52"
"http://purl.bdrc.io/resource/P122","pra nye 03 ngag dbang thub bstan rgya mtsho/","52"
"http://purl.bdrc.io/resource/P1KG18305","rje btsun grags pa rgya mtsho/","52"
"http://purl.bdrc.io/resource/P263","rdzong dkar grub dbang 'jigs med bsam gtan/","52"
"http://purl.bdrc.io/resource/P3827","myang ting 'dzin bzang po/","52"
"http://purl.bdrc.io/resource/P6584","chab 'gag rdo rje tshe ring /","52"
"http://purl.bdrc.io/resource/P6958","mkhan chen thub bstan snyan grags/","52"
"http://purl.bdrc.io/resource/P00EGS1017627","lo tsA ba gyi ljang dbu dkar/","51"
"http://purl.bdrc.io/resource/P1544","kong rong sman bla don grub/","51"
"http://purl.bdrc.io/resource/P178","'on rgyal sras 05 skal bzang thub bstan 'jigs med rgya mtsho/","51"
"http://purl.bdrc.io/resource/P1812","de mo 08 ngag dbang thub bstan 'jigs med rgya mtsho/","51"
"http://purl.bdrc.io/resource/P2541","smin gling khri chen 04 'gyur med pad+ma bstan 'dzin/","51"
"http://purl.bdrc.io/resource/P284","seng chen blo bzang bstan 'dzin dpal 'byor/","51"
"http://purl.bdrc.io/resource/P3500","spyan snga bsod nams lha'i dbang po/","51"
"http://purl.bdrc.io/resource/P6955","a bu lha sgang pad+ma theg mchog blo ldan/","51"
"http://purl.bdrc.io/resource/P00EGS1017943","bsod nams skyid/","50"
"http://purl.bdrc.io/resource/P1KG4203","grub thob nyag se ba/","50"
"http://purl.bdrc.io/resource/P2282","paN chen na bza' ba/","50"
"http://purl.bdrc.io/resource/P311","'brong rtse blo bzang tshul khrims/","50"
"http://purl.bdrc.io/resource/P3723","hor chen pa ye shes rgya mtsho/","50"
"http://purl.bdrc.io/resource/P5119","gnya' gong dkon mchog tshe brtan/","50"
"http://purl.bdrc.io/resource/P5569","rje drung shes rab dbang po/","50"
"http://purl.bdrc.io/resource/P5937","mus chen rab 'byams pa thugs chen dpal bzang /","50"
"http://purl.bdrc.io/resource/P63","gnyal ba blo gros mtshungs med/","50"
"http://purl.bdrc.io/resource/P8759","tsha ba lo tsA ba rin chen rnam rgyal/","50"
"http://purl.bdrc.io/resource/P9449","btsan lha ngag dbang /","50"
"http://purl.bdrc.io/resource/P351","brag g.yab blo bzang bstan pa/","49"
"http://purl.bdrc.io/resource/P5280","spyan snga bsod nams rgyal mtshan/","49"
"http://purl.bdrc.io/resource/P7842","ldan ma blo bzang rdo rje/","49"
"http://purl.bdrc.io/resource/P8381","a skyong rtogs ldan blo gros rgya mtsho/","49"
"http://purl.bdrc.io/resource/P8422","chos dpal dar byang /","49"
"http://purl.bdrc.io/resource/P963","gzim 'og 04 byams pa bstan 'dzin snyan grags/","49"
"http://purl.bdrc.io/resource/P987","kong ston dbang phyug grub pa/","49"
"http://purl.bdrc.io/resource/P996","se ra smad mkhas grub bstan pa dar rgyas/","49"
"http://purl.bdrc.io/resource/P00KG02901","mi bskyod rdo rje/","48"
"http://purl.bdrc.io/resource/P173","mtshams pa blo bzang dkon mchog","48"
"http://purl.bdrc.io/resource/P1883","rgya gar ba shes rab rgyal mtshan/","48"
"http://purl.bdrc.io/resource/P1GS53094","ser byes tre hor lha rams dge bshes tshul dga'","48"
"http://purl.bdrc.io/resource/P1KG10360","bsod nams/","48"
"http://purl.bdrc.io/resource/P1KG13997","ngag dbang skal ldan rgya mtsho/","48"
"http://purl.bdrc.io/resource/P1KG16217","blo bzang 'jam dbyangs bstan pa'i nyi ma/","48"
"http://purl.bdrc.io/resource/P1KG1684","shes rab rgya mtsho/","48"
"http://purl.bdrc.io/resource/P1KG9679","'khor gdong gter chen 01 'gro phan gling pa/","48"
"http://purl.bdrc.io/resource/P1KG981","mog chung phur kho/","48"
"http://purl.bdrc.io/resource/P408","kun dga' blo gros/","48"
"http://purl.bdrc.io/resource/P4862","lha 'bri sgang pa/","48"
"http://purl.bdrc.io/resource/P4CZ75604","rdo sbis tshe ring rdo rje/","48"
"http://purl.bdrc.io/resource/P5641","rin chen nor bu/","48"
"http://purl.bdrc.io/resource/P5927","sde dge shar ba ma kun dga' dpal ldan/","48"
"http://purl.bdrc.io/resource/P6116","dge bshes tshul khrims rnam rgyal/","48"
"http://purl.bdrc.io/resource/P6271","rang sgra/","48"
"http://purl.bdrc.io/resource/P629","skal ldan jo sman/","48"
"http://purl.bdrc.io/resource/P6323","a bu dkar lo/","48"
"http://purl.bdrc.io/resource/P6528","gling sman bkra shis 'bum/","48"
"http://purl.bdrc.io/resource/P6715","lha klu tshe dbang rdo rje/","48"
"http://purl.bdrc.io/resource/P6846","nyi ma tshe ring /","48"
"http://purl.bdrc.io/resource/P6856","rgyang 'khor tshe phun/","48"
"http://purl.bdrc.io/resource/P7261","ngag dbang dkon mchog bstan rgyal/","48"
"http://purl.bdrc.io/resource/P7367","dpal ldan/","48"
"http://purl.bdrc.io/resource/P7371","rnam rgyal tshe ring /","48"
"http://purl.bdrc.io/resource/P7687","khod spo blo gros thogs med/","48"
"http://purl.bdrc.io/resource/P7964","kaH thog kun dga' 'bum pa/","48"
"http://purl.bdrc.io/resource/P8LS66443","AtsArya dge bshes thub bstan byang chub/","48"
"http://purl.bdrc.io/resource/P9350","dbra khyung dge bshes skal bzang nor bu/","48"
"http://purl.bdrc.io/resource/P9445","rgyal mo 'brug pa/","48"
"http://purl.bdrc.io/resource/P9448","rme'u tsha bstan 'dzin rnam rgyal/","48"
"http://purl.bdrc.io/resource/P9454","dhIH tsha mun 'joms sgron me/","48"
"http://purl.bdrc.io/resource/P3154","rgyud chen brtson 'grus 'phags/","47"
"http://purl.bdrc.io/resource/P5224","sha gzugs pa bkra shis rnam rgyal/","47"
"http://purl.bdrc.io/resource/P6834","'jigs med 'gro phan/","47"
"http://purl.bdrc.io/resource/P979","sa skya khri chen 40 drag shul 'phrin las rin chen/","47"
"http://purl.bdrc.io/resource/P10200","sde dge drung yig gu ru 'phel/","46"
"http://purl.bdrc.io/resource/P10659","pad+ma mchog dpal bzang po/","46"
"http://purl.bdrc.io/resource/P1673","bru ston rgyal ba g.yung drung /","46"
"http://purl.bdrc.io/resource/P267","thar shul 04 dge 'dun chos skyong rgya mtsho/","46"
"http://purl.bdrc.io/resource/P2DB4490","thar rtse zhabs drung bstan pa'i nyi ma/","46"
"http://purl.bdrc.io/resource/P5335","sgam po sku skye nor bu rgyan pa/","46"
"http://purl.bdrc.io/resource/P6289","khri bsam gtan/","46"
"http://purl.bdrc.io/resource/P183","shug gseb rje btsun chos dbyings bzang mo/","45"
"http://purl.bdrc.io/resource/P4401","zhu chen gyi lo tsA ba dga' rdor/","45"
"http://purl.bdrc.io/resource/P5684","mtshur phu rgyal tshab 04 pa grags pa don grub/","45"
"http://purl.bdrc.io/resource/P5945","rta nag mkhan po chos rnam rgyal/","45"
"http://purl.bdrc.io/resource/P7034","o rgyan bstan 'dzin/","45"
"http://purl.bdrc.io/resource/P7404","rdzogs chen 03 nges don bstan 'dzin bzang po/","45"
"http://purl.bdrc.io/resource/P00EGS109637","phur bu lcog yongs 'dzin sprul sku thub bstan byams pa tshul khrims bstan 'dzin/","44"
"http://purl.bdrc.io/resource/P10631","mkhan po 'jam dbyangs grub pa'i blo gros/","44"
"http://purl.bdrc.io/resource/P1256","sgro lo tsA ba rin chen sde/","44"
"http://purl.bdrc.io/resource/P1PD82464","bla ma tshe dbang /","44"
"http://purl.bdrc.io/resource/P1PD94977","gzu ru dkon mchog bstan 'dzin/","44"
"http://purl.bdrc.io/resource/P2273","bya 'dul brtson 'grus 'bar/","44"
"http://purl.bdrc.io/resource/P294","a khyung ngag dbang mkhyen rab/","44"
"http://purl.bdrc.io/resource/P2985","bra ti dge bshes chung ba blo bzang dge legs/","44"
"http://purl.bdrc.io/resource/P2JM492","smyo shul lung rtogs bstan pa'i rgyal mtshan/","44"
"http://purl.bdrc.io/resource/P4256","lo tsA ba bzang skyong /","44"
"http://purl.bdrc.io/resource/P4PD3054","rams tshe b+ho/","44"
"http://purl.bdrc.io/resource/P5264","yar 'brog pa dge bsnyen 'jigs med 'bangs/","44"
"http://purl.bdrc.io/resource/P5878","'brug rje mkhan po 68 bstan 'dzin don kun sgrub pa'i sde/","44"
"http://purl.bdrc.io/resource/P6418","mkhan po no mon han blo bzang bstan 'dzin rgyal mtshan/","44"
"http://purl.bdrc.io/resource/P6434","grags pa/","44"
"http://purl.bdrc.io/resource/P6676","khams sprul bsod nams don grub/","44"
"http://purl.bdrc.io/resource/P6848","gter chen pad+ma gtum po/","44"
"http://purl.bdrc.io/resource/P7379","sgo ra nang pa phun tshogs dbang rgyal/","44"
"http://purl.bdrc.io/resource/P8121","mkhan po skal ldan tshe ring /","44"
"http://purl.bdrc.io/resource/P8297","rdzong nang sprul sku 'jam dbyangs 'jigs med chos kyi zla ba/","44"
"http://purl.bdrc.io/resource/P877","'brug chen 05 dpag bsam dbang po/","44"
"http://purl.bdrc.io/resource/P9372","shar wod chos mdzad grags pa bzang po/","44"
"http://purl.bdrc.io/resource/P9472","sde drug mkhan po ngag dbang rab brtan/","44"
"http://purl.bdrc.io/resource/P1199","rong bo dge bshes dge 'dun bstan 'dzin/","43"
"http://purl.bdrc.io/resource/P1CZ2411","mchog sprul kun dga' bstan 'dzin/","43"
"http://purl.bdrc.io/resource/P2043","stong 'khor 02 yon tan rgya mtsho/","43"
"http://purl.bdrc.io/resource/P2DB13653","mA yang rta mgrin skyabs/","43"
"http://purl.bdrc.io/resource/P3357","dbu ma pa dpa' bo rdo rje/","43"
"http://purl.bdrc.io/resource/P416","'bri gung che tshang 02 dkon mchog 'phrin las bzang po/","43"
"http://purl.bdrc.io/resource/P5234","sgrol ma bsam 'grub rdo rje/","43"
"http://purl.bdrc.io/resource/P7633","a gro sgra rams pa 'gyur med rnam rgyal/","43"
"http://purl.bdrc.io/resource/P834","sgam po pa 05 o rgyan 'gro 'dul gling pa/","43"
"http://purl.bdrc.io/resource/P8407","chu mig pa seng+ge dpal/","43"
"http://purl.bdrc.io/resource/P8724","gnyal zhig po 'jam pa'i rdo rje/","43"
"http://purl.bdrc.io/resource/P00EGS1017011","re mdo seng+ge","42"
"http://purl.bdrc.io/resource/P00EGS1017062","so ru blo bzang dar rgyas/","42"
"http://purl.bdrc.io/resource/P00KG07632","tshe ring dbyangs skyid/","42"
"http://purl.bdrc.io/resource/P00KG09770","shar mkhan sprul 'jam dpal blo gros/","42"
"http://purl.bdrc.io/resource/P10188","nam mkha' bsam grub rgyal mtshan/","42"
"http://purl.bdrc.io/resource/P1683","gshen mkhas grub tshul khrims rgyal mtshan/","42"
"http://purl.bdrc.io/resource/P1GS88137","bsod nams dpal ldan/","42"
"http://purl.bdrc.io/resource/P1KG13004","mig dmar tshe ring /","42"
"http://purl.bdrc.io/resource/P1KG14586","don grub tshe ring /","42"
"http://purl.bdrc.io/resource/P1KG20863","'brong ngur chos rje dkon mchog bstan 'dzin nges don bstan pa'i rgyal mtshan/","42"
"http://purl.bdrc.io/resource/P1KG21171","'brong ngur pho nya/","42"
"http://purl.bdrc.io/resource/P1KG2163","rin chen don grub/","42"
"http://purl.bdrc.io/resource/P1KG21723","a 'khor bzod pa/","42"
"http://purl.bdrc.io/resource/P1KG26066","a 'dus skal bzang rgya mtsho/","42"
"http://purl.bdrc.io/resource/P1PD108086","dge bshes bsod nams phun tshogs/","42"
"http://purl.bdrc.io/resource/P1TLMTGA002526","gsal kha med/","42"
"http://purl.bdrc.io/resource/P2577","sgam po pa bsod nams lhun grub/","42"
"http://purl.bdrc.io/resource/P2914","seng phrug pad+ma bkra shis/","42"
"http://purl.bdrc.io/resource/P2CZ8077","rgan drung tshe ring dbang phyug","42"
"http://purl.bdrc.io/resource/P2DB26083","rgyal thang shes rab rgya mtsho/","42"
"http://purl.bdrc.io/resource/P3399","paN+Di ta zhi ba snying po/","42"
"http://purl.bdrc.io/resource/P4038","kun dga' blo gros rgyal mtshan/","42"
"http://purl.bdrc.io/resource/P4416","lo tsA ba ban+de gzhon nu shes rab/","42"
"http://purl.bdrc.io/resource/P4636","khri 07 blo gros brtan pa/","42"
"http://purl.bdrc.io/resource/P502","dpal ldan tshul khrims/","42"
"http://purl.bdrc.io/resource/P5118","ldan ma 'jam dbyangs tshul khrims/","42"
"http://purl.bdrc.io/resource/P5459","bla ma gsang sngags/","42"
"http://purl.bdrc.io/resource/P5832","sangs rgyas dar po/","42"
"http://purl.bdrc.io/resource/P6216","rje btsun shes rab seng+ge","42"
"http://purl.bdrc.io/resource/P6443","karma mkha' 'bum/","42"
"http://purl.bdrc.io/resource/P6469","o rgyan rdo rje/","42"
"http://purl.bdrc.io/resource/P6660","bshad sgra dga' ldan dpal 'byor/","42"
"http://purl.bdrc.io/resource/P6669","mig dmar/","42"
"http://purl.bdrc.io/resource/P6673","'bum rams pa dbang 'dus/","42"
"http://purl.bdrc.io/resource/P6857","phun tshogs bkra shis/","42"
"http://purl.bdrc.io/resource/P6862","mdzod tshang blo bzang brtson 'grus/","42"
"http://purl.bdrc.io/resource/P689","rdo rje brag rig 'dzin 03 bskal bzang pad+ma dbang phyug","42"
"http://purl.bdrc.io/resource/P6969","rong bo lha rgyal dpal/","42"
"http://purl.bdrc.io/resource/P7282","snyan bzang yum skyabs rgyal/","42"
"http://purl.bdrc.io/resource/P7960","sde dge 'jigs med mkhyen brtse'i 'od zer/","42"
"http://purl.bdrc.io/resource/P8046","sreg shing blo bzang don grub/","42"
"http://purl.bdrc.io/resource/P8221","'gos chos 'grub/","42"
"http://purl.bdrc.io/resource/P1033","gu ge paN+Di ta grags pa rgyal mtshan/","41"
"http://purl.bdrc.io/resource/P15","lha nang pa sangs rgyas rin chen/","41"
"http://purl.bdrc.io/resource/P2251","kun spangs chos grags dpal/","41"
"http://purl.bdrc.io/resource/P239","sman ri ba blo bzang rnam rgyal/","41"
"http://purl.bdrc.io/resource/P2JM106","rgyal mo g.yu sgra snying po/","41"
"http://purl.bdrc.io/resource/P508","yongs 'dzin lha dbang blo gros/","41"
"http://purl.bdrc.io/resource/P6069","bsod nams 'od zer/","41"
"http://purl.bdrc.io/resource/P727","sras 'phags mchog rdo rje/","41"
"http://purl.bdrc.io/resource/P7959","rdzong sngon pad+ma thugs mchog rdo rje/","41"
"http://purl.bdrc.io/resource/P1405","zhang sha ra ba yon tan grags/","40"
"http://purl.bdrc.io/resource/P1654","shes rab 'od zer/","40"
"http://purl.bdrc.io/resource/P2585","'jam gsar ba shes rab 'od zer/","40"
"http://purl.bdrc.io/resource/P4061","ngag dbang 'phrin las/","40"
"http://purl.bdrc.io/resource/P4404","sa skya bla chen kun dga' rgyal mtshan/","40"
"http://purl.bdrc.io/resource/P4512","rdzong pa kun dga' rgyal mtshan/","40"
"http://purl.bdrc.io/resource/P4929","dwags po mkhas grub byams pa brtan pa/","40"
"http://purl.bdrc.io/resource/P558","zhe chen dbon sprul 'gyur med mthu stobs rnam rgyal/","40"
"http://purl.bdrc.io/resource/P6251","mkha' 'bum/","40"
"http://purl.bdrc.io/resource/P6294","rdo rje rgyal/","40"
"http://purl.bdrc.io/resource/P7650","jo khyabs pad+ma 'phrin las snying po/","40"
"http://purl.bdrc.io/resource/P842","'brug chen 07 dkar brgyud 'phrin las shing rta/","40"
"http://purl.bdrc.io/resource/P8LS12432","gtsang mkhan zur blo bzang tshe ring /","40"
"http://purl.bdrc.io/resource/P003JR4640","kaHthog mkhan chen bsod nams bstan pa'i rgyal mtshan/","39"
"http://purl.bdrc.io/resource/P0RK1222","lce btsun seng+ge dbang phyug","39"
"http://purl.bdrc.io/resource/P1053","mang mkhar lo tsA ba mchog ldan legs pa'i blo gros/","39"
"http://purl.bdrc.io/resource/P2271","gro ston bdud rtsi grags/","39"
"http://purl.bdrc.io/resource/P27","blo bzang lung rtogs bstan 'dzin 'phrin las/","39"
"http://purl.bdrc.io/resource/P2DB6814","'jam dbyangs bstan 'dzin/","39"
"http://purl.bdrc.io/resource/P3102","bco brgyad khri chen 01 mkhyen rab rin chen mchog grub/","39"
"http://purl.bdrc.io/resource/P324","shing bza' paN+Di ta blo bzang bstan pa'i dbang phyug","39"
"http://purl.bdrc.io/resource/P337","gtsang sman ye shes bzang po/","39"
"http://purl.bdrc.io/resource/P4241","shes rab ye shes/","39"
"http://purl.bdrc.io/resource/P4336","lo tsA ba dge slong g.yung drun g'od/","39"
"http://purl.bdrc.io/resource/P4CZ15497","lo tsA ba lce dga' ba'i dpal/","39"
"http://purl.bdrc.io/resource/P5658","sba gsal snang /","39"
"http://purl.bdrc.io/resource/P7134","mi nyag rong shar ba thub bstan legs bshad bzang po/","39"
"http://purl.bdrc.io/resource/P795","ngag dbang bsod nams dbang phyug","39"
"http://purl.bdrc.io/resource/P8850","ja bzi sprul sku pad+ma gar dbang gling pa/","39"
"http://purl.bdrc.io/resource/P962","ngor mkhan chen 54 kun dga' bstan pa'i rgyal mtshan/","39"
"http://purl.bdrc.io/resource/P1366","karma bstan skyong dbang po/","38"
"http://purl.bdrc.io/resource/P1829","rgyal rong tshul khrims nyi ma/","38"
"http://purl.bdrc.io/resource/P2253","zhang ston bsod nams grags/","38"
"http://purl.bdrc.io/resource/P2511","ngor mkhan chen 15 kun dga' bsod nams lhun grub/","38"
"http://purl.bdrc.io/resource/P292","bis pa ngag dbang mi pham zla ba/","38"
"http://purl.bdrc.io/resource/P3468","kha rag sgom chung dbang phyug blo gros/","38"
"http://purl.bdrc.io/resource/P369","chos rgyal ngag gi dbang po/","38"
"http://purl.bdrc.io/resource/P4213","bsod nams bzang po/","38"
"http://purl.bdrc.io/resource/P4373","btsun pa blo bzang snyan grags/","38"
"http://purl.bdrc.io/resource/P4802","dka' chen tshe dbang /","38"
"http://purl.bdrc.io/resource/P5958","bstan 'dzin 'phrin las kun mkhyen/","38"
"http://purl.bdrc.io/resource/P5986","gter ston rin chen gling pa/","38"
"http://purl.bdrc.io/resource/P6347","mgar ba gter chen pad+ma bdud 'dul dbang phyug gling pa/","38"
"http://purl.bdrc.io/resource/P6662","nag po skal bzang /","38"
"http://purl.bdrc.io/resource/P7260","spa gro chos rje pad dkar rgya mtsho/","38"
"http://purl.bdrc.io/resource/P7271","chos skyabs dpal bzang /","38"
"http://purl.bdrc.io/resource/P7382","bo thar bkra shis chos 'phel/","38"
"http://purl.bdrc.io/resource/P7584","zur mang drung pa 04 kun dga' rnam rgyal/","38"
"http://purl.bdrc.io/resource/P7637","kaH thog pa bsod nams rgyal mtshan/","38"
"http://purl.bdrc.io/resource/P869","bde chen chos 'khor zhabs drung 01 chos kyi mgon po/","38"
"http://purl.bdrc.io/resource/P00EGS1010412","rat+na sa mu dra/","37"
"http://purl.bdrc.io/resource/P00KG03602","'jigs bral sbas pa'i rdo rje/","37"
"http://purl.bdrc.io/resource/P10203","dmar ston chos rgyal/","37"
"http://purl.bdrc.io/resource/P1468","stong 'khor 05 bsod nams rgya mtsho/","37"
"http://purl.bdrc.io/resource/P1494","'dul 'dzin ye shes rgya mtsho/","37"
"http://purl.bdrc.io/resource/P199","kha dron nang pa blo bzang bstan 'dzin/","37"
"http://purl.bdrc.io/resource/P1KG14496","sngags sa dge bshes/","37"
"http://purl.bdrc.io/resource/P2540","ngag dbang kun dga' bkra shis/","37"
"http://purl.bdrc.io/resource/P2668","sman lung pa blo gros mchog gi rdo rje/","37"
"http://purl.bdrc.io/resource/P2890","zur chung shes rab grags pa/","37"
"http://purl.bdrc.io/resource/P3022","gling stod nyi thang chos rje blo bzang rgya mtsho/","37"
"http://purl.bdrc.io/resource/P4209","lo tsA ba bsod nams rgyal ba/","37"
"http://purl.bdrc.io/resource/P4767","thos bsam gling gdan rabs 3","37"
"http://purl.bdrc.io/resource/P4PD2808","a 'dzi nor bu dbang rgyal/","37"
"http://purl.bdrc.io/resource/P5291","man lung gu ru/","37"
"http://purl.bdrc.io/resource/P5955","rwa ston ngag dbang bstan 'dzin rdo rje/","37"
"http://purl.bdrc.io/resource/P618","bde chen chos 'khor yongs 'dzin 05 ye shes grub pa/","37"
"http://purl.bdrc.io/resource/P6264","blo bzang blo gros/","37"
"http://purl.bdrc.io/resource/P665","a lags rgyal po 01 dpal ldan bkra shis/","37"
"http://purl.bdrc.io/resource/P6833","bstan 'dzin lhag pa/","37"
"http://purl.bdrc.io/resource/P7495","sprul sku tshe dbang rdo rje/","37"
