P00EGS1016610,19122024
P00EGS1016697,41147768
P00EGS1016730,43740814
P00EGS1016739,44445102
P00EGS1016930,60868812
P00EGS1017036,428260
P00EGS1017215,70359414
P00EGS1017215,77744821
P00EGS1017344,33590619
P00EGS1018102,75891882
P00EGS1018102,8982346
P00KG02778,7100496
P00KG02779,9554801
P00KG02780,31705790
P00KG02849,50456766
P00KG0637,71120516
P00KG09697,12939484
P00KG09738,3380930
P00KG09756,49287206
P0RK1289,187644093
P0RK1750,3560555
P0RK998,6606175
P1006,279833304
P10079,78198842
P10088,46181606
P101,25947924
P1014,28372582
P1015,65058843
P1016,33049684
P1017,287721955
P10202,15681068
P10202,22315095
P1025,28404478
P10277,84393467
P10278,79067305
P1034,50617690
P1042,5264446
P1043,302952961
P1048,27093349
P105,21025362
P105,2881148390871310830006
P1056,12433277
P10569,107317707
P10571,86720474
P106,64421356
P10718,4599865
P108,65604162
P109,50103327
P1132,57965312
P1152,310508306
P1160,20596995
P1161,49632792
P1166,197110794
P1217,90922184
P1224,53323798
P1226,62339969
P123,21580420
P1243,121649261
P1243,90593159
P1262,49632530
P127,1310117
P131,11277342
P1317,23553581
P132,34124461
P1367,239477777
P1382,271735802
P139,70500126
P1400,6266055
P1404,72246243
P1410,77261487
P1413,76725003
P1426,70496088
P1428,27180067
P1432,45598215
P1448,28137805
P1454,216422350
P1487,11139081
P1495,74154739906752991847
P1499,44711505
P1514,28275743
P151,79547378
P1518,9771151778245018130008
P152,213348088
P154,20420212
P155,69728299
P1573,33350185
P1583,29615126
P1583,5817155566441013380003
P1614,121936995
P1615,11189995
P1618,45658398
P1629,221791731
P1637,13607315
P16,37836662
P1638,309612581
P1640,214267051
P1642,302615862
P1646,172879707
P1647,262663671
P1648,108831318
P1649,316657442
P1649,38242123
P1650,810813
P1651,62959595
P1655,303639903
P1656,48062802
P1663,71557063
P1664,52771565
P166,91767057
P1669,212017624
P1675,62934384
P1677,214244792
P1681,40668421
P1682,217317080
P168,45198557
P1685,30950202
P1686,4229164842481613040007
P1687,95433691
P1689,190695984
P1690,284743699
P1691,23518555
P1693,23432174
